epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7808195948600769,0.0010000000474974513,0.7405717372894287,0.8280081748962402,0.7292109727859497
1,0.9222921133041382,0.0010000000474974513,0.363389253616333,0.9299796223640442,0.40745481848716736
2,0.9353851675987244,0.0010000000474974513,0.32716163992881775,0.9612508416175842,0.29976579546928406
3,0.9367454648017883,0.0010000000474974513,0.3153500556945801,0.9462950229644775,0.3136790096759796
4,0.941506564617157,0.0010000000474974513,0.2967444956302643,0.9490142464637756,0.2774960994720459
5,0.9364053606987,0.0010000000474974513,0.29752784967422485,0.955812394618988,0.2598239779472351
6,0.9459275603294373,0.0010000000474974513,0.27988365292549133,0.963290274143219,0.25693169236183167
7,0.9460976123809814,0.0010000000474974513,0.26995500922203064,0.8565601706504822,0.7048115134239197
8,0.9443972110748291,0.0010000000474974513,0.278658002614975,0.9456152319908142,0.2790915071964264
9,0.9438871145248413,0.0010000000474974513,0.2703365683555603,0.9537729620933533,0.23874562978744507
10,0.9469478130340576,0.0010000000474974513,0.2578784227371216,0.9483344554901123,0.2832651734352112
11,0.9484781622886658,0.0010000000474974513,0.2522778809070587,0.9592114090919495,0.23153840005397797
12,0.9496684074401855,0.0010000000474974513,0.23747651278972626,0.9626104831695557,0.22367997467517853
13,0.9545995593070984,0.0010000000474974513,0.22750252485275269,0.9578518271446228,0.21918390691280365
14,0.9445672631263733,0.0010000000474974513,0.24087603390216827,0.9496940970420837,0.23504559695720673
15,0.9387859106063843,0.0010000000474974513,0.2552606761455536,0.9211421012878418,0.3858925998210907
16,0.9398061633110046,0.0010000000474974513,0.25407251715660095,0.9585316181182861,0.21990278363227844
17,0.9491583108901978,0.0010000000474974513,0.22770287096500397,0.9456152319908142,0.2157144844532013
18,0.9404863119125366,0.0010000000474974513,0.23395280539989471,0.9646499156951904,0.20103690028190613
19,0.9479680061340332,0.0010000000474974513,0.23491577804088593,0.942216157913208,0.22374288737773895
20,0.9513688087463379,0.0010000000474974513,0.21884265542030334,0.9537729620933533,0.21356363594532013
21,0.9522190093994141,0.0010000000474974513,0.21828441321849823,0.9585316181182861,0.18825142085552216
22,0.9532392621040344,0.0010000000474974513,0.2053890824317932,0.9578518271446228,0.20574603974819183
23,0.9433769583702087,0.0010000000474974513,0.21429936587810516,0.9592114090919495,0.2014370560646057
24,0.9537493586540222,0.0010000000474974513,0.2018904983997345,0.9551325440406799,0.1919519305229187
25,0.9539194107055664,0.0010000000474974513,0.1980847716331482,0.9571719765663147,0.1807767003774643
26,0.9496684074401855,0.0010000000474974513,0.20469124615192413,0.9456152319908142,0.2109329104423523
27,0.9527291059494019,0.0010000000474974513,0.19698037207126617,0.9571719765663147,0.20611034333705902
28,0.9545995593070984,0.0010000000474974513,0.2023923546075821,0.9578518271446228,0.1974710375070572
29,0.9515388607978821,0.0010000000474974513,0.20528572797775269,0.9524133205413818,0.20709286630153656
30,0.95425945520401,0.0010000000474974513,0.1913151890039444,0.9571719765663147,0.1760704517364502
31,0.9559598565101624,0.0010000000474974513,0.18547283113002777,0.9626104831695557,0.17126823961734772
32,0.9561299085617065,0.0010000000474974513,0.1730121672153473,0.9564921855926514,0.17286400496959686
33,0.9571501612663269,0.0010000000474974513,0.17037704586982727,0.9585316181182861,0.16289325058460236
