epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6464886665344238,0.0010000000474974513,0.910575807094574,0.8966689109802246,0.27217358350753784
1,0.8738309741020203,0.0010000000474974513,0.3713110387325287,0.9374575018882751,0.19083090126514435
2,0.8998469710350037,0.0010000000474974513,0.28301066160202026,0.9483344554901123,0.16664355993270874
3,0.9124298691749573,0.0010000000474974513,0.23768393695354462,0.947654664516449,0.130210742354393
4,0.9287536144256592,0.0010000000474974513,0.18664754927158356,0.9598912596702576,0.11505512148141861
5,0.9280734658241272,0.0010000000474974513,0.18816477060317993,0.9598912596702576,0.11274915188550949
6,0.9280734658241272,0.0010000000474974513,0.1930529922246933,0.9469748735427856,0.16659457981586456
7,0.9302839636802673,0.0010000000474974513,0.16922353208065033,0.9490142464637756,0.13979682326316833
8,0.9328345656394958,0.0010000000474974513,0.16486291587352753,0.9537729620933533,0.12283333390951157
9,0.9384458661079407,0.0010000000474974513,0.15523360669612885,0.963290274143219,0.10039620101451874
10,0.9396361112594604,0.0010000000474974513,0.14565135538578033,0.9524133205413818,0.1427273452281952
11,0.9460976123809814,0.0010000000474974513,0.14648477733135223,0.9231815338134766,0.33010149002075195
12,0.9352151155471802,0.0010000000474974513,0.15767090022563934,0.9435757994651794,0.18059667944908142
13,0.9338547587394714,0.0010000000474974513,0.14948047697544098,0.9551325440406799,0.11374639719724655
14,0.9345349669456482,0.0010000000474974513,0.14413931965827942,0.9469748735427856,0.13652710616588593
15,0.9416765570640564,0.0005000000237487257,0.1314670741558075,0.9612508416175842,0.11495071649551392
16,0.9438871145248413,0.0005000000237487257,0.125139519572258,0.9483344554901123,0.1790217161178589
17,0.9445672631263733,0.0005000000237487257,0.11961846798658371,0.947654664516449,0.17463962733745575
18,0.9443972110748291,0.0005000000237487257,0.12460712343454361,0.9462950229644775,0.16897614300251007
19,0.9466077089309692,0.0005000000237487257,0.12076612561941147,0.9435757994651794,0.23610123991966248
20,0.9484781622886658,0.0002500000118743628,0.11640114337205887,0.9483344554901123,0.22154083847999573
21,0.9520489573478699,0.0002500000118743628,0.11164440214633942,0.942216157913208,0.2282250076532364
22,0.9505186080932617,0.0002500000118743628,0.11261583864688873,0.9428960084915161,0.20573925971984863
23,0.9481380581855774,0.0002500000118743628,0.11275821924209595,0.9503738880157471,0.19771787524223328
24,0.9484781622886658,0.0002500000118743628,0.11269034445285797,0.9639700651168823,0.11768193542957306
25,0.9501785635948181,0.0001250000059371814,0.1195911392569542,0.9524133205413818,0.1816759705543518
26,0.9545995593070984,0.0001250000059371814,0.11104268580675125,0.9510536789894104,0.19138769805431366
27,0.9544295072555542,0.0001250000059371814,0.10872016847133636,0.9530931115150452,0.18954376876354218
28,0.9511987566947937,0.0001250000059371814,0.10541395097970963,0.9496940970420837,0.18861989676952362
29,0.9557898044586182,0.0001250000059371814,0.10621614754199982,0.9435757994651794,0.2526487112045288
30,0.953579306602478,6.25000029685907e-05,0.11082378774881363,0.9483344554901123,0.22777977585792542
31,0.9520489573478699,6.25000029685907e-05,0.10901336371898651,0.9428960084915161,0.23275381326675415
32,0.9545995593070984,6.25000029685907e-05,0.10816031694412231,0.9435757994651794,0.2319543957710266
33,0.9576602578163147,6.25000029685907e-05,0.10374458879232407,0.947654664516449,0.23352298140525818
34,0.9581703543663025,6.25000029685907e-05,0.10385201126337051,0.9462950229644775,0.2301526963710785
35,0.9576602578163147,3.125000148429535e-05,0.10398951917886734,0.947654664516449,0.22962720692157745
36,0.9561299085617065,3.125000148429535e-05,0.10756747424602509,0.9449354410171509,0.22233468294143677
37,0.9551096558570862,3.125000148429535e-05,0.1030929684638977,0.9496940970420837,0.19032913446426392
38,0.9549396634101868,3.125000148429535e-05,0.10635470598936081,0.9564921855926514,0.14325007796287537
39,0.9574902057647705,3.125000148429535e-05,0.10182249546051025,0.955812394618988,0.13823914527893066
