epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7247067093849182,0.0010000000474974513,0.7059115767478943,0.8619986176490784,0.41805920004844666
1,0.9105594158172607,0.0010000000474974513,0.2606357932090759,0.9530931115150452,0.16275691986083984
2,0.9282435178756714,0.0010000000474974513,0.19705502688884735,0.955812394618988,0.1501026153564453
3,0.9341948628425598,0.0010000000474974513,0.17824815213680267,0.9592114090919495,0.13754390180110931
4,0.9370855093002319,0.0010000000474974513,0.16635815799236298,0.9612508416175842,0.121978759765625
5,0.9374256134033203,0.0010000000474974513,0.1651363968849182,0.9551325440406799,0.13245560228824615
6,0.9437170624732971,0.0010000000474974513,0.15215571224689484,0.9605710506439209,0.12335474044084549
7,0.9462676644325256,0.0010000000474974513,0.14569804072380066,0.9578518271446228,0.12123174965381622
8,0.9455874562263489,0.0010000000474974513,0.1555275171995163,0.955812394618988,0.1324213594198227
9,0.9449073076248169,0.0010000000474974513,0.14303161203861237,0.9578518271446228,0.11802482604980469
10,0.9459275603294373,0.0010000000474974513,0.14238855242729187,0.963290274143219,0.11558572947978973
11,0.9479680061340332,0.0010000000474974513,0.14296473562717438,0.9626104831695557,0.11300507932901382
12,0.9452474117279053,0.0010000000474974513,0.13646124303340912,0.9551325440406799,0.12366968393325806
13,0.9460976123809814,0.0010000000474974513,0.14125075936317444,0.9605710506439209,0.11397486925125122
14,0.9443972110748291,0.0010000000474974513,0.13750503957271576,0.9592114090919495,0.11536546796560287
15,0.946437656879425,0.0010000000474974513,0.1331239640712738,0.9598912596702576,0.11085108667612076
16,0.9479680061340332,0.0010000000474974513,0.13405545055866241,0.955812394618988,0.11530192196369171
17,0.9510287642478943,0.0010000000474974513,0.12783370912075043,0.9578518271446228,0.11660519987344742
18,0.9479680061340332,0.0010000000474974513,0.1347714513540268,0.955812394618988,0.1255447417497635
19,0.9467777609825134,0.0010000000474974513,0.13720035552978516,0.9537729620933533,0.11807525902986526
20,0.9435470104217529,0.0010000000474974513,0.13806015253067017,0.9585316181182861,0.11169242858886719
21,0.9505186080932617,0.0005000000237487257,0.1257539689540863,0.9578518271446228,0.10977940261363983
22,0.9494983553886414,0.0005000000237487257,0.12338314205408096,0.9578518271446228,0.11022231727838516
23,0.952899158000946,0.0005000000237487257,0.1181534007191658,0.9578518271446228,0.11134827882051468
24,0.9523890614509583,0.0005000000237487257,0.11889201402664185,0.955812394618988,0.10902383923530579
25,0.9523890614509583,0.0005000000237487257,0.11872468888759613,0.9564921855926514,0.10787447541952133
