epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7891514897346497,0.0010000000474974513,0.6146150231361389,0.9571719765663147,0.22166208922863007
1,0.928583562374115,0.0010000000474974513,0.23805660009384155,0.9612508416175842,0.1776258796453476
2,0.9399762153625488,0.0010000000474974513,0.20284123718738556,0.9639700651168823,0.16281349956989288
3,0.935725212097168,0.0010000000474974513,0.20114471018314362,0.9626104831695557,0.1679939329624176
4,0.9394660592079163,0.0010000000474974513,0.19917455315589905,0.9598912596702576,0.172586590051651
5,0.9425267577171326,0.0010000000474974513,0.19025292992591858,0.9564921855926514,0.1702059805393219
6,0.9447373151779175,0.0010000000474974513,0.18077914416790009,0.9571719765663147,0.15890341997146606
7,0.9435470104217529,0.0010000000474974513,0.17895860970020294,0.9612508416175842,0.15548647940158844
8,0.9469478130340576,0.0010000000474974513,0.1758396178483963,0.9585316181182861,0.1539149284362793
9,0.9443972110748291,0.0010000000474974513,0.17318740487098694,0.963290274143219,0.1504608690738678
10,0.9472878575325012,0.0010000000474974513,0.17158320546150208,0.9571719765663147,0.15234674513339996
11,0.9477980136871338,0.0010000000474974513,0.17097759246826172,0.9571719765663147,0.14783447980880737
12,0.9488182067871094,0.0010000000474974513,0.1618049293756485,0.9626104831695557,0.14228393137454987
13,0.9491583108901978,0.0010000000474974513,0.16241244971752167,0.9571719765663147,0.15726907551288605
14,0.9469478130340576,0.0010000000474974513,0.161887988448143,0.9544527530670166,0.15297706425189972
15,0.9511987566947937,0.0010000000474974513,0.156131312251091,0.9544527530670166,0.14184680581092834
16,0.9508587121963501,0.0010000000474974513,0.15958130359649658,0.955812394618988,0.13868597149848938
17,0.9471178650856018,0.0010000000474974513,0.1543777883052826,0.9578518271446228,0.14096972346305847
